6010 LLW;Furgoneta;DACIA;Dokker;SERVICIOS GENERALES;BIFUELA/BIFUEL;PLG+GASOLINA/GLP+GASOLINA;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
2553 KDZ;Furgoneta;RENAULT;Kangoo;SERVICIOS GENERALES;DIESELA/DIESEL; ;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
9382 GHF;Furgoneta;RENAULT;Traffic;SERVICIOS GENERALES;DIESELA/DIESEL; ;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
6011 LLW;Furgoneta;DACIA;Dokker;SERVICIOS GENERALES;BIFUELA/BIFUEL;PLG+GASOLINA/GLP+GASOLINA;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
8677 JTF;Furgoneta;VOLKSWAGEN;Caddy;SERVICIOS GENERALES;DIESELA/DIESEL; ;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
8693 JTF;Furgoneta;VOLKSWAGEN;Caddy;SERVICIOS GENERALES;DIESELA/DIESEL; ;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
6058 LLW;Furgoneta;DACIA;Dokker;SERVICIOS GENERALES;BIFUELA/BIFUEL;PLG+GASOLINA/GLP+GASOLINA;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
6015 LLW;Furgoneta;DACIA;Dokker;SERVICIOS GENERALES;BIFUELA/BIFUEL;PLG+GASOLINA/GLP+GASOLINA;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
5029 JVG;Furgoneta;OPEL ;Combo;SERVICIOS GENERALES;DIESELA/DIESEL; ;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
5857 KFP;Pick up;ISUZU;Pickup;SERVICIOS GENERALES;DIESELA/DIESEL; ;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
2552 KDZ;Furgoneta;RENAULT;Kangoo;SERVICIOS GENERALES;DIESELA/DIESEL; ;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
2556 KDZ;Furgoneta;RENAULT;Traffic;SERVICIOS GENERALES;DIESELA/DIESEL; ;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
8680 JTF;Furgoneta;VOLKSWAGEN;Caddy;SERVICIOS GENERALES;DIESELA/DIESEL; ;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
6016 LLW;Furgoneta;DACIA;Dokker;SERVICIOS GENERALES;BIFUELA/BIFUEL;PLG+GASOLINA/GLP+GASOLINA;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
6017 LLW;Furgoneta;DACIA;Dokker;SERVICIOS GENERALES;BIFUELA/BIFUEL;PLG+GASOLINA/GLP+GASOLINA;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
6018 LLW;Furgoneta;DACIA;Dokker;SERVICIOS GENERALES;BIFUELA/BIFUEL;PLG+GASOLINA/GLP+GASOLINA;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
0574 GKT;Furgoneta;PEUGEOT;Partner;SERVICIOS GENERALES;DIESELA/DIESEL; ;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
6012 LLW;Furgoneta;DACIA ;Dokker;SERVICIOS GENERALES;BIFUELA/BIFUEL;PLG+GASOLINA/GLP+GASOLINA;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
1414 JLV;Pick up;ISUZU;Pickup;SERVICIOS GENERALES;DIESELA/DIESEL; ;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
0099 JWF;Pick up;ISUZU;Pickup;SERVICIOS GENERALES;DIESELA/DIESEL; ;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
6019 LLW;Furgoneta;DACIA;Dokker;SERVICIOS GENERALES;BIFUELA/BIFUEL;PLG+GASOLINA/GLP+GASOLINA;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
6316 LDL;Todoterreno;TOYOTA;Land Cruiser;SERVICIOS GENERALES;DIESELA/DIESEL; ;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
6328 LDL;Todoterreno;TOYOTA;Land Cruiser;SERVICIOS GENERALES;DIESELA/DIESEL; ;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
6301 LDL;Todoterreno;TOYOTA;Land Cruiser;SERVICIOS GENERALES;DIESELA/DIESEL; ;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
9516 JFW;Pick up;NISSAN ;Pickup;SERVICIOS GENERALES;DIESELA/DIESEL; ;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
2554 KDZ;Furgoneta;RENAULT;Traffic;SERVICIOS GENERALES;DIESELA/DIESEL; ;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
0218 JVH;Furgoneta;OPEL;Vivaro;SERVICIOS GENERALES;DIESELA/DIESEL; ;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
2555 KDZ;Furgoneta;RENAULT;Traffic;SERVICIOS GENERALES;DIESELA/DIESEL; ;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
4591 KFH;Furgoneta;DACIA;Dokker;SERVICIOS GENERALES;DIESELA/DIESEL; ;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
4592 KFH;Furgoneta;DACIA;Dokker;SERVICIOS GENERALES;DIESELA/DIESEL; ;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
4595 KFH;Furgoneta;DACIA;Dokker;SERVICIOS GENERALES;DIESELA/DIESEL; ;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
2155 JRX;Turismo;DACIA;Sandero;SERVICIOS GENERALES;DIESELA/DIESEL; ;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
2187 JRX;Turismo;DACIA;Sandero;SERVICIOS GENERALES;DIESELA/DIESEL; ;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
2197 JRX;Turismo;DACIA;Sandero;SERVICIOS GENERALES;DIESELA/DIESEL; ;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
5406 GKS;Furgoneta;PEUGEOT;Partner;SERVICIOS GENERALES;DIESELA/DIESEL; ;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
0919 KST;Furgoneta;DACIA;Dokker;SERVICIOS GENERALES;BIFUELA/BIFUEL;PLG+GASOLINA/GLP+GASOLINA;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
8734 LMW;Furgoneta;DACIA;Dokker;SERVICIOS GENERALES;BIFUELA/BIFUEL;PLG+GASOLINA/GLP+GASOLINA;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
4993 MBL;Furgoneta;DACIA;Duster;SERVICIOS GENERALES;BIFUELA/BIFUEL;PLG+GASOLINA/GLP+GASOLINA;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
6013 LLW;Furgoneta;DACIA;Dokker;SERVICIOS GENERALES;BIFUELA/BIFUEL;PLG+GASOLINA/GLP+GASOLINA;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
8655 LMC;Turismo;DACIA;Sandero;SERVICIOS GENERALES;BIFUELA/BIFUEL;PLG+GASOLINA/GLP+GASOLINA;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
5766 KPR;Turismo;RENAULT;Zoe;SERVICIOS GENERALES;ELEKTRIKOA/ELÉCTRICO;100%;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
0087 KLR;Turismo;SEAT;Ibiza;SERVICIOS GENERALES;BIFUELA/BIFUEL;GN+GASOLINA;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
0089 KLR;Turismo;SEAT;Ibiza;SERVICIOS GENERALES;BIFUELA/BIFUEL;GN+GASOLINA;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
5878 KLC;Turismo;SEAT;Ibiza;SERVICIOS GENERALES;BIFUELA/BIFUEL;GN+GASOLINA;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
0083 KLR;Turismo;SEAT;Ibiza;SERVICIOS GENERALES;BIFUELA/BIFUEL;GN+GASOLINA;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
5886 KLC;Turismo;SEAT;Ibiza;SERVICIOS GENERALES;BIFUELA/BIFUEL;GN+GASOLINA;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
0090 KLR;Turismo;SEAT;Ibiza;SERVICIOS GENERALES;BIFUELA/BIFUEL;GN+GASOLINA;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
0086 KLR;Turismo;SEAT;Ibiza;SERVICIOS GENERALES;BIFUELA/BIFUEL;GN+GASOLINA;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
5968 KLC;Turismo;SEAT;Ibiza;SERVICIOS GENERALES;BIFUELA/BIFUEL;GN+GASOLINA;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
1811 KLV;Turismo;SEAT;Ibiza;SERVICIOS GENERALES;BIFUELA/BIFUEL;GN+GASOLINA;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
5881 KLC;Turismo;SEAT;Ibiza;SERVICIOS GENERALES;BIFUELA/BIFUEL;GN+GASOLINA;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
0084 KLR;Turismo;SEAT;Ibiza;SERVICIOS GENERALES;BIFUELA/BIFUEL;GN+GASOLINA;0;01/03/2022;;PROPIEDAD;;28/02/2023 17:30;28/02/2023 17:30
4923 LFF;Turismo;RENAULT;Clio;SERVICIOS GENERALES;BIFUELA/BIFUEL;PLG+GASOLINA/GLP+GASOLINA;43.650;01/03/2022;;RENTING;;28/02/2023 17:30;28/02/2023 17:30
4914 LFF;Turismo;RENAULT;Clio;SERVICIOS GENERALES;BIFUELA/BIFUEL;PLG+GASOLINA/GLP+GASOLINA;47.534;01/03/2022;;RENTING;;28/02/2023 17:30;28/02/2023 17:30
4939 LFF;Turismo;RENAULT;Clio;SERVICIOS GENERALES;BIFUELA/BIFUEL;PLG+GASOLINA/GLP+GASOLINA;57.468;01/03/2022;;RENTING;;28/02/2023 17:30;28/02/2023 17:30
4926 LFF;Turismo;RENAULT;Clio;SERVICIOS GENERALES;BIFUELA/BIFUEL;PLG+GASOLINA/GLP+GASOLINA;22.202;01/03/2022;;RENTING;;28/02/2023 17:30;28/02/2023 17:30
4910 LFF;Turismo;RENAULT;Clio;SERVICIOS GENERALES;BIFUELA/BIFUEL;PLG+GASOLINA/GLP+GASOLINA;87.411;01/03/2022;;RENTING;;28/02/2023 17:30;28/02/2023 17:30
